здесь	zʲ dʲ e sʲ
какие	k ɐ c i j e
какие	k ɐ c i j ɪ
говорил	ɡ ə v ɐ rʲ i ɫ
кто	k t̪ o
кто	x t̪ o
мишель	mʲ ɪ ʂ ɛ ʎ
сказал	s̪ k ɐ z̪ a ɫ
тоял	t̪ ɐ j a ɫ
я	j a
го	ɡ o
го	ɡ ə
льчик	ʎ tɕ ɪ k
ё	j ɵ
е	j e
к	c ɪ ɫ ə
к	k
к	k a
а	a
а	ɐ
а	ə
образное	o b r ə z̪ n̪ ə j ə
абажуром	ɐ b ɐ ʐ u r ə m
аа	a ə
аа	ɐ a
абзац	ɐ b z̪ a t̪s̪
ага	a ɡ ə
ага	ɐ ɡ a
абидоса	ɐ bʲ i d̪ ə s̪ ə
абидоса	ɐ bʲ ɪ d̪ o s̪ ə
абидоса	ɐ bʲ ɪ d̪ ə s̪ ə
абидосу	ɐ bʲ i d̪ ə s̪ ʊ
абидосу	ɐ bʲ ɪ d̪ o s̪ ʊ
абидосу	ɐ bʲ ɪ d̪ ə s̪ ʊ
аблакату	ɐ b ɫ ɐ k a t̪ ʊ
абиссинию	ɐ bʲ ɪ sʲː i ɲ ɪ j ʊ
абонируйся	ɐ b ɐ ɲ i r ʊ j sʲ ə
абонемента	ɐ b ə ɲ ɪ mʲ e n̪ t̪ ə
абонировался	ɐ b ɐ ɲ i r ə v ə ɫ sʲ ə
абонируюсь	ɐ b ɐ ɲ i r ʊ j ʉ sʲ
абраудюрсо	ɐ b r a ʊ dʲ u r s̪ ə
абраудюрсо	ɐ b r ə ʊ dʲ u r s̪ ə
абрикосы	ɐ b rʲ ɪ k o s̪ ɨ
аборта	ɐ b o r t̪ ə
абсолютно	ɐ p s̪ ɐ ʎ u t̪ n̪ ə
абсолютное	ɐ p s̪ ɐ ʎ u t̪ n̪ ə j ə
абы	a b ɨ
абы	ɐ b ɨ
авангард	ɐ v ɐ n̪ ɡ a r t̪
авансы	ɐ v a n̪ s̪ ɨ
авантюрист	ɐ v ə ɲ tʲ ʉ rʲ i s̪ t̪
абстракция	ɐ p s̪ t̪ r a k t̪s̪ ɨ j ə
аварий	ɐ v a rʲ ɪ j
август	a v ɡ ʊ s̪ t̪
августа	a v ɡ ʊ s̪ t̪ a
августа	a v ɡ ʊ s̪ t̪ ə
авгуры	ɐ v ɡ u r ɨ
авденаго	ɐ v dʲ e n̪ a ɡ ə
авденаго	ɐ v dʲ ɪ n̪ a ɡ ə
авессалома	ɐ vʲ ɪ s̪ː ɐ ɫ o m ə
